,track_name,artist_name,id,genres,album_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,track_pop,duration_ms,time_signature
64,Worse Things Than Love,Timeflies,1Dqi65YqYbsSLAICxwqmvZ,"dance pop, indie pop rap, indie poptimism, pop, pop dance, pop edm, pop rap, pop rock, post-teen pop, tropical house",Just For Fun (Deluxe),0.697,0.817,5,-3.472,0,0.149,0.109,0.0,0.0258,0.697,95.034,55,32,199307,4
65,Officially Missing You - Bonus Track,Brasstracks,4vyq2tl0NuCkYa5iXWWOLa,"indie soul, nyc pop",For Those Who Know (Deluxe),0.767,0.732,7,-5.472,1,0.0759,0.00801,0.716,0.309,0.504,104.953,53,31,193861,4
66,XO Tour Llif3,Brasstracks,1AY001zik4a6IFFE4ZrV9K,"indie soul, nyc pop",XO Tour Llif3,0.672,0.755,11,-4.666,0,0.187,0.014,0.826,0.164,0.51,77.549,53,36,210596,4
67,RACECAR,Aries,2jHtrZpn4EodGzAtK2WAxb,"pop, pop rap, sad rap",RACECAR,0.708,0.729,8,-7.618,1,0.0311,0.0675,0.0,0.165,0.562,117.003,63,35,157436,4
68,Night's Not Over,AL-X The Great,1lsoPCmKIp1bZHp17gw9Xr,"lo-fi rap, meme rap",Night's Not Over,0.803,0.657,4,-6.65,0,0.175,0.205,0.0,0.0658,0.588,95.031,35,10,177095,4
69,Love in the Milky Way Cafe,10cm,6k6Llm7Kw3Ad1Xo1e6sIcR,"k-indie, k-pop, korean pop",1.0,0.759,0.333,11,-8.68,0,0.0357,0.246,0.0,0.222,0.673,121.831,60,38,172760,4
70,아프리카 청춘이다 Youth Gone Wild in Africa,10cm,06mTWanqGpcmT1n9mSG4E2,"k-indie, k-pop, korean pop",3.0,0.724,0.517,9,-4.734,1,0.0343,0.813,0.0,0.0966,0.702,127.951,60,14,237616,4
71,비밀연애 Undercover Lovers,10cm,6qEsV45fh3uA4Y4HcWoEpO,"k-indie, k-pop, korean pop",3.1,0.743,0.416,11,-5.837,0,0.0266,0.711,0.0,0.112,0.613,122.021,60,0,239044,4
72,Smile,sophie meiers,0Q7bQszd9Lr699WS2Uo9aq,bedroom soul,Smile,0.45,0.515,0,-9.428,1,0.227,0.919,0.00246,0.162,0.719,78.372,55,0,143600,4
73,Rocketman (feat. Atlas & Lando!),AL-X The Great,2oHDXaIgFkD41mkocZKMKC,"lo-fi rap, meme rap",Rocketman (feat. Atlas & Lando!),0.797,0.518,7,-12.625,1,0.281,0.282,0.0,0.0954,0.717,139.988,35,41,173558,4
74,you're my world,atlas,3bszbt6NF38VOyCPndzUH0,lo-fi rap,you're my world,0.785,0.563,6,-7.805,1,0.103,0.655,0.00916,0.108,0.425,86.025,50,0,157038,4
75,Falling for U,Peachy!,0sHFw13WH3LtSB3yP8UMYJ,lo-fi beats,Falling for U,0.516,0.358,8,-12.018,0,0.424,0.743,1.3e-06,0.0813,0.397,79.509,59,0,124000,4
76,Reckless,Healy,3UJS9aEUbtYO8kMl1IK1r3,memphis hip hop,Subluxe,0.849,0.362,2,-8.585,1,0.41,0.526,1.63e-05,0.233,0.415,81.143,53,55,237157,4
77,Always Afternoon,Medasin,6GMaQmdpwGolGyuW6ZJ9X9,"edm, electronic trap, future bass, vapor soul, vapor twitch",Always Afternoon,0.598,0.357,3,-12.104,1,0.0492,0.869,0.0957,0.27,0.168,75.017,56,49,183227,4
78,Baby,Logic,4NQNuItFMPClEJNCceGdF3,"conscious hip hop, dmv rap, hip hop, pop rap, rap",Supermarket (Soundtrack),0.682,0.755,4,-4.436,1,0.0488,0.229,0.0,0.0966,0.197,95.998,81,38,238027,4
79,봄이 좋냐?? What The Spring??,10cm,5gkB40BDQE1CvtXpF6fcPm,"k-indie, k-pop, korean pop",봄이 좋냐?? What The Spring??,0.866,0.37,1,-5.739,1,0.0327,0.597,0.0,0.117,0.841,94.018,60,2,205752,4
80,strangers,biosphere,60bHRp4901AmCtPPPsytte,"lo-fi beats, lo-fi rap",strangers,0.735,0.389,1,-12.291,1,0.354,0.687,3.25e-06,0.125,0.729,73.831,52,52,198868,4
81,Wi Ing Wi Ing 위잉위잉,HYUKOH,5NnNl71fwVkuB1M45CXvdb,"k-indie, korean indie folk, korean r&b",20,0.7,0.696,7,-5.356,1,0.0525,0.262,0.0,0.107,0.293,124.825,53,0,194867,4
82,Anthropocene,Samsa,070iRzgOurm4lI1SViKJ6i,"lo-fi rap, meme rap",Anthropocene,0.479,0.784,7,-8.464,1,0.493,0.302,0.0,0.111,0.692,179.382,47,0,256078,4
83,Downtime,Kid Quill,2NMJtRbZUrw5VCDl7TaWqX,"indiana hip hop, indie pop rap, pop, pop rap",The Name Above the Title,0.798,0.617,2,-6.867,1,0.0403,0.518,0.000418,0.107,0.541,99.01,51,0,212071,4
84,Something More,love-sadKID,5RRmADGh2OIZuBOOk0JdK5,"lo-fi rap, meme rap",Something More,0.685,0.685,10,-5.719,0,0.13,0.123,5.44e-05,0.0705,0.46,83.005,52,0,164034,4
85,Fantasy,khai dreams,53usuYfeK66GLBhm6k7x5e,"indie pop, lo-fi rap, pop",Summer Is Like a Dream,0.35,0.43,7,-13.14,1,0.131,0.715,0.0,0.299,0.203,169.908,65,0,170667,4
86,Mama Bling,Abhi The Nomad,2B2LmWEr1LOQW8pfEFNXok,"desi hip hop, indie r&b, pop rap",Marbled,0.852,0.583,0,-4.596,1,0.117,0.694,0.0,0.104,0.335,90.019,58,24,222652,4
87,Girl on a Train,Skizzy Mars,6M1nfYPKy7DRk3IrhFVViQ,"indie pop rap, pop rap, underground hip hop",Alone Together,0.711,0.678,9,-6.398,1,0.0476,0.219,0.0,0.176,0.615,94.04,54,46,182548,4
88,waltz for hulot,mamerico,5aSozRkbmo5fwxZs7SLQhS,japanese indie folk,minuscule,0.731,0.158,6,-15.768,1,0.047,0.946,0.00058,0.0993,0.314,130.79,43,40,227653,3
89,Game over!,Harris Cole,1LnvvETuCo3vqt1xC9j7J4,"chillhop, lo-fi beats",Game over!,0.635,0.0861,11,-18.311,0,0.0755,0.358,0.00995,0.138,0.0618,130.146,47,0,206811,4
90,Say My Name,NIKI,6RwOlJGjOcJavqKxqpYT73,"indonesian r&b, pop",Zephyr,0.637,0.457,6,-10.11,0,0.07,0.331,2.73e-05,0.0969,0.314,149.893,76,47,192453,4
91,Shingeki Gt 20130218 Kyojin,Hiroyuki Sawano,6AFkv6rIVRusZNifR74Q7t,"anime score, japanese soundtrack","TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)",0.159,0.197,9,-15.228,0,0.0312,0.505,0.94,0.127,0.125,85.869,68,52,151400,3
92,do u even miss me at all?,gianni & kyle,6MFOvTb7Mf7bl5Y4qRgOzr,"indie pop rap, pop, pop rap",she's no angel,0.819,0.519,10,-7.16,0,0.0768,0.384,0.0,0.0899,0.452,100.039,54,0,177600,4
93,Starlight,Kuwada,2dTt16doBXHwu8NEsA6BTx,pop,Starlight,0.722,0.838,3,-3.88,0,0.133,0.252,9.79e-06,0.179,0.73,151.944,47,33,184453,4
94,Love Her Too (feat. G-Eazy),Marc E. Bassy,1buT1LWUddQg5sSNHdnzwV,"pop, pop rap, post-teen pop, r&b",Postmodern Depression,0.733,0.742,0,-3.65,1,0.244,0.0263,0.0,0.13,0.899,87.071,63,37,179573,4
95,shut up,Greyson Chance,4WQS72yCXQWBNcTzBzseEr,"alt z, dance pop, electropop, pop, post-teen pop, viral pop",shut up,0.821,0.448,9,-4.33,1,0.0468,0.296,3.26e-06,0.0683,0.45,105.006,58,1,170364,4
96,Love Me Less (feat. Quinn XCII),MAX,2tOOcDDYkh0PSjr6GwPEAJ,"chill r&b, dance pop, pop, post-teen pop, viral pop",Love Me Less (feat. Quinn XCII),0.732,0.856,11,-2.2,0,0.0929,0.0828,0.0,0.323,0.771,145.034,71,61,177670,4
97,Donut,pH-1,0WU7j9WQ9pjhbe9V15NgWv,"k-pop, k-rap, korean r&b",The Island Kid,0.913,0.564,6,-5.022,1,0.196,0.439,0.0,0.142,0.901,120.064,65,37,211481,4
98,"불과 얼음 사이 (feat. Hovi, DJ TOM)",Aimer,7nMdJr21DRXlIviuRfsAFq,pop,"불과 얼음 사이 (feat. Hovi, DJ TOM)",0.752,0.447,4,-7.601,0,0.0644,0.695,5.36e-05,0.105,0.484,97.066,0,0,207884,4
99,そっけない,RADWIMPS,13oAUe55KzwcJBsjCmrPaq,"j-pop, j-rock, japanese emo, visual kei",ANTI ANTI GENERATION,0.627,0.399,0,-7.305,1,0.0364,0.591,0.0,0.101,0.186,109.919,74,0,389467,4
100,I Like U,NIKI,6f7BE3VcZScJx6n3wsf5Z3,"indonesian r&b, pop",I Like U,0.48,0.526,5,-7.099,1,0.275,0.071,0.0,0.0879,0.374,199.662,76,66,267733,3
101,Faucets (feat. Healy),Biskwiq,5WJ3Py8BuLkt0RaDrN8U2X,lo-fi rap,Buttermilk - EP,0.479,0.547,0,-6.358,1,0.355,0.492,0.00064,0.556,0.174,79.717,56,42,105600,3
102,Beauty Marks,Ciara,2cWC0R1ShnLaJEYRMAD8dj,"dance pop, hip pop, pop, post-teen pop, r&b, urban contemporary",Beauty Marks,0.641,0.41,5,-5.286,1,0.0269,0.844,0.0,0.122,0.109,83.975,72,32,216069,4
103,Peachy,love-sadKID,5ucKVHtUlR1xEWmvMYqTv2,"lo-fi rap, meme rap",Peachy,0.796,0.463,4,-7.845,0,0.101,0.136,0.0,0.0775,0.634,90.004,52,0,176285,4
104,valentine (prod. flavors),atlas,5mpv8gh1F6B7e2OdytGZ6l,lo-fi rap,valentine (prod. flavors),0.661,0.748,6,-7.464,0,0.348,0.702,0.0,0.228,0.881,77.882,50,45,123418,4
105,Sweet,Bren Joy,6PJaduT27BZFudBlgmDbYd,"chill r&b, indie r&b",Twenties,0.638,0.732,0,-6.852,1,0.0914,0.173,0.0,0.0681,0.553,78.017,56,0,226154,4
106,Breathing Underwater,JIAN,3FIsKkmSyjYzLomoR9TWB1,pop,Breathing Underwater,0.411,0.628,6,-7.365,0,0.314,0.605,0.0,0.937,0.353,105.063,18,0,217143,4
107,He Will Always Be,Pseudo,7IXCpHNsVkp5JK7Bu8bQP5,singaporean pop,He Will Always Be,0.683,0.303,6,-13.278,1,0.0336,0.832,0.0,0.0686,0.347,112.022,33,0,207000,4
108,Session 32,Summer Walker,2ktg2oZDyFAX3iY1QNkXl5,"pop, r&b",Session 32,0.574,0.123,1,-13.959,1,0.196,0.894,0.00111,0.118,0.117,115.431,82,72,98027,3
109,Secret (feat. YK Osiris),Ann Marie,5Myn23fz8X1zOGjOdJZG18,"pop r&b, viral rap",Secret (feat. YK Osiris),0.738,0.617,1,-6.775,0,0.0514,0.511,0.0,0.201,0.783,130.096,56,45,179147,4
110,Amor Malo,Omar Apollo,09hCjCYUFFzb85ScMxBhYy,"bedroom pop, bedroom soul, pop",Stereo,0.663,0.531,9,-8.452,1,0.0452,0.642,0.00412,0.0962,0.531,140.657,76,1,145411,4
111,Bad Idea (feat. Chance the Rapper),Cordae,5u431x19PX588bk9XGlwN8,"dmv rap, hip hop, rap, trap, underground hip hop",Bad Idea (feat. Chance the Rapper),0.75,0.502,10,-7.184,1,0.31,0.238,0.0,0.106,0.301,82.54,71,0,234730,4
112,Burberry Headband,Lil Mosey,3k8M6cCVi3q0gthqFy7TLc,"melodic rap, rap, rap conscient, trap, vapor trap, viral rap",Northsbest,0.714,0.647,8,-6.865,1,0.037,0.598,0.0,0.0943,0.67,150.992,72,0,146225,4
113,It's been a while (feat. Zion.T),Loco,5XSaFLb9dlUdCwC9WAAsaC,"k-pop, korean r&b",HELLO,0.653,0.712,5,-3.732,1,0.0587,0.637,0.0,0.207,0.675,80.031,64,25,206000,4
114,Dazed and Confused (feat. Travie McCoy),Jake Miller,2lM7UCECnnV6HKfans1bjD,"indie pop rap, pop, post-teen pop",Dazed and Confused EP,0.802,0.523,11,-7.535,1,0.0437,0.0144,2.21e-05,0.0716,0.379,105.016,58,51,176040,4
115,Sunflower Seeds,Bryce Vine,1AR0LdJZ6nzLFmwxlBbo0r,"electropop, pop, pop rap",Sunflower Seeds,0.723,0.593,10,-5.816,1,0.0308,0.194,5.35e-05,0.217,0.273,92.985,68,37,228610,4
116,Dancing With Your Ghost,Sasha Alex Sloan,1TQXIltqoZ5XXyfCbAeSQQ,"alt z, electropop, pop",Dancing With Your Ghost,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,73,77,197732,4
117,Sorry Would Go A Long Way,Tori Kelly,3BuahhfJclheHyXL9pVrmO,"dance pop, pop, post-teen pop",Sorry Would Go A Long Way,0.424,0.35,6,-6.807,1,0.0467,0.803,0.0,0.106,0.331,164.216,68,41,191305,4
118,Deep,Julia Michaels,1LzmZWMpiPqeEIvaYCzO3Z,"alt z, dance pop, electropop, pop, post-teen pop",Inner Monologue Part 1,0.739,0.479,1,-5.446,1,0.113,0.251,0.0,0.344,0.617,135.955,77,40,163200,4
119,Terrified,Terror Jr,0tCD4um9Mbqli92icIS3Jo,"alt z, electropop, indie electropop, indie poptimism, metropopolis, pop","Unfortunately, Terror Jr",0.897,0.449,7,-9.353,1,0.0921,0.353,4.31e-06,0.122,0.631,115.959,48,38,178298,4
120,Inhibition (omw),Olivia O'Brien,6pVrJoQsxj5rnivyFTvyVK,"alt z, dance pop, electropop, pop, post-teen pop, rap",Was It Even Real?,0.537,0.471,0,-6.509,0,0.19,0.527,0.0,0.159,0.537,158.712,70,33,205947,4
